id,title,estimatedValue,entity_id,procurement_type_id,procurement_type,entity,sector,deadline,financial_year
91120,"SUPPLY OF AIR GREASE LUBRICATOR,COMPRESSOR AND SPRAY GUN FOR ROUTINE USE ON MANTAINANCE",16800000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-02 00:00:00,2023-2024
89625,PROCUREMENTOF CIVIL WORKS FOR THE UGANDA HEART INSTITUTE INFRASTRUCTURE DEVELOPMENT PROJECT,46000000,464.0,3.0,Works,Uganda Heart Institute,Health,2024-07-01 00:00:00,2023-2024
91128,SUPPLY OF FDU – 91F ULTRASONIC LEVEL TRANSMITTER FOR MUYENGA RESERVOIR STATION UNDER GGABA TREATMENT PLANT.,20000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-07-01 00:00:00,2023-2024
90409,Provision of Printer Leasing Services or Kampala Water Offices and Branches for a period of 12 Months under Reservation Scheme.,108000000,433.0,2.0,Non-Consultancy Services,National Water & Sewerage Corporation,Water and Environment,2024-06-28 00:00:00,2023-2024
90410,Supply of Multi-Purpose LaserJet Printers for Branches under Reservation Scheme.,15000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-28 00:00:00,2023-2024
91753,SUPPLY OF TANK SEALANT FOR TANK REPAIRS UNDER RESERVATION SCHEME,12000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-28 00:00:00,2023-2024
91022,Servicing of Generator and Change over Upgrade,19688300,475.0,2.0,Non-Consultancy Services,Uganda Printing & Publishing Corporation,Public Administration,2024-06-28 00:00:00,2023-2024
91806,Supply of 3phase motoring relays for static plant,90000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-28 00:00:00,2023-2024
91059,supply of butt welding machines with all accessories for network department,49560000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-28 00:00:00,2023-2024
91115,SUPPLY OF LABORATORY AUTOCLAVE FOR STERILIZATION FOR GABA LAB UNDER RESERVATION SCHEME,15000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-28 00:00:00,2023-2024
91119,SUPPLY OF DEEPSEA PANELS 7320,14000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-28 00:00:00,2023-2024
91123,Supply of concrete slabs for SSD under reservation scheme,23010000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-28 00:00:00,2023-2024
91127,Supply of assorted bearings for tank valves at Nsumba reservoirs at Katosi-WPD under the reservation scheme,20000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-28 00:00:00,2023-2024
91383,PROVISION OF HOTEL SERVICES FOR STAKEHOLDER ENGAGEMENT ON COMPLIANCE WITH RADIO  OPERATORS IN HOIMA,40000000,458.0,2.0,Non-Consultancy Services,Uganda Communications Commission,ICT and National Guidance,2024-06-28 00:00:00,2023-2024
91384,PROVISION OF HOTEL SERVICES FOR STAKEHOLDER ENGAGEMENT ON COMPLIANCE WITH RADIO  OPERATORS IN LIRA,40000000,458.0,2.0,Non-Consultancy Services,Uganda Communications Commission,ICT and National Guidance,2024-06-28 00:00:00,2023-2024
91386,provision of hotel services for stakeholder engagement on compliance with radio broadcast operators in Tororo.,40000000,458.0,2.0,Non-Consultancy Services,Uganda Communications Commission,ICT and National Guidance,2024-06-28 00:00:00,2023-2024
91387,PROVISION OF HOTEL SERVICES FOR STAKEHOLDER ENGAGEMENT ON COMPLIANCE WITH RADIO BROADCAST OPERATORS IN NTUNGAMO,40000000,458.0,2.0,Non-Consultancy Services,Uganda Communications Commission,ICT and National Guidance,2024-06-28 00:00:00,2023-2024
91726,"Supply of N70, N150, N200 Maintenance free batteries",23400000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-27 00:00:00,2023-2024
91013,Supply of Double headed push button switch for repairs and maintenance for static plant,11800000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-27 00:00:00,2023-2024
91057,SUPPLY OF MILD STEEL BOXES FOR CONTROL PANELS FOR MODIFICATION OF ISOLATORS FOR RAW WATER PUMPSETS AT KATOSI-WPD UNDER RESERVATION SCHEME,18360000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-27 00:00:00,2023-2024
91326,Sewer extension to Nakulabye – Bukesa & Naguru Katalima rd (under Lot 1 & 2 respectively) under reservation scheme,147321456,433.0,3.0,Works,National Water & Sewerage Corporation,Water and Environment,2024-06-27 00:00:00,2023-2024
90823,"Provision of support, Maintenance and Upgrade for Network Admission Control (NAC) Solution",708000000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-06-26 00:00:00,2023-2024
91094,Provision of Support and Maintenance of Cynet 360 Next Generation Anti Virus Solution,845910000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-06-26 00:00:00,2023-2024
91394,Printing of Information packs for Uganda communications commission,100000000,458.0,1.0,Supplies,Uganda Communications Commission,ICT and National Guidance,2024-06-25 00:00:00,2023-2024
91395,Printing and supply of budget books for the financial years 2023/2024 and 2024/2025,70000000,458.0,1.0,Supplies,Uganda Communications Commission,ICT and National Guidance,2024-06-25 00:00:00,2023-2024
91397,Pritning of Information packs for the Uganda Communications Universal Fund (UCUSAF),80000000,458.0,1.0,Supplies,Uganda Communications Commission,ICT and National Guidance,2024-06-25 00:00:00,2023-2024
91041,SUPPLY OF MINUS 85 OC FRIDGE FOR STORAGE OF REFRENCE MICRO ORGANISM,40000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-25 00:00:00,2023-2024
91129,Supply of power supply of cables for maintenance-SSD under reservation scheme,23000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-25 00:00:00,2023-2024
91404,Supply of Laptop & Installation of related software for file Maker,51510000,458.0,1.0,Supplies,Uganda Communications Commission,ICT and National Guidance,2024-06-24 00:00:00,2023-2024
90897,EMERGENCY POWER EXTENSION TO RWABA BOREHOLE IN BUSOWA-BUGIRI AREA,92000000,433.0,3.0,Works,National Water & Sewerage Corporation,Water and Environment,2024-06-24 00:00:00,2023-2024
90950,supply of assorted bearings for static plant repairs and maintenance under reservastion scheme.,97805000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-24 00:00:00,2023-2024
91007,Supply of bolts and nuts for tank repairs under the reservation scheme,14500000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-24 00:00:00,2023-2024
91017,"Supply of repair materials for Teso College 1228m3 reservoir, Soroti",34084000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-24 00:00:00,2023-2024
91019,"Supply of deep sea display for replacement on generators (IT 6th St., Wankulukuku & Kagoma) WPD under reservation scheme.",10200000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-24 00:00:00,2023-2024
91021,"DRILLING, DEVELOPMENT AND CONSTRUCTION OF TWO PRODUCTION BOREHOLES IN HOIMA AREA",170000000,433.0,3.0,Works,National Water & Sewerage Corporation,Water and Environment,2024-06-24 00:00:00,2023-2024
91036,"Supply of 50,000kgs(50MT) of Sodium Chloride (salt) for water treatment",135700000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-24 00:00:00,2023-2024
91126,THYRISTOR MODULE TD500N16KOF FOR ALLEN BRADLY INVERTERS FOR NAMASUBA PUMPS GABA 1 –WPD,33000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-24 00:00:00,2023-2024
91219,"Provision of URANET, Datalinks, Internet and Voice services under Framework",8100000000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-06-21 00:00:00,2023-2024
90981,Supply of prosonics FMU90 ultrasonic level controller for Gunhill & Mukono reservoir stations under reservation scheme.,35730000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-21 00:00:00,2023-2024
91005,Supply of Utility Blower with Accessories under Reservation Scheme,12000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-21 00:00:00,2023-2024
91026,CONSUMABLES FOR KW,36350000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-21 00:00:00,2023-2024
91027,Supply of Flexible cable for emergency panel connection for Namasuba Pump Gaba1,37450000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-21 00:00:00,2023-2024
91071,Supply of Printer Maintenance and Repair Parts-Lot 1 & Photocopier Maintenance and Repair Parts-Lot 2 under Reservation Scheme,63000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-21 00:00:00,2023-2024
90048,Provision of Support and Maintenance of Converged Infrastructure under framework Contract,4783000000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-06-21 00:00:00,2023-2024
91098,SUPPLY AND DELIVERY OF CONSUMABLES FOR RICOH PRO C7200 SX PRINTER,96000000,472.0,1.0,Supplies,Uganda National Examinations Board,Education,2024-06-21 00:00:00,2023-2024
91112,Provision of Catering Services ( Staff Meals) at Bride & Groom Expo 2024,8640000,674.0,2.0,Non-Consultancy Services,NEW VISION PRINTING & PUBLISHING,Public Administration,2024-06-21 00:00:00,2023-2024
91113,Provision of Cleaning Services at Bride & Groom EXpo 2024,6006200,674.0,2.0,Non-Consultancy Services,NEW VISION PRINTING & PUBLISHING,Public Administration,2024-06-21 00:00:00,2023-2024
91117,"supply of Thyristor,26MT120,12VCD Relays,24VDC Relays",17000000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-21 00:00:00,2023-2024
91134,PROVISION OF SECURITY GUARD SERVICES FOR NWSC AREAS UNDER FRAMEWORK CONTRACT FOR A PERIOD OF THIRTY SIX MONTHS,11951568000,433.0,2.0,Non-Consultancy Services,National Water & Sewerage Corporation,Water and Environment,2024-06-20 00:00:00,2023-2024
91282,Maintenance of Compound for UCC House Bugolobi,26550000,458.0,3.0,Works,Uganda Communications Commission,ICT and National Guidance,2024-06-19 00:00:00,2023-2024
90826,"Construction of Steel Gate, Drainage mesh and Chain link at Elegu OSBP",40000000,478.0,3.0,Works,Uganda Revenue Authority,Accountability,2024-06-19 00:00:00,2023-2024
91858,Supply and delivery of printers,13908584,796.0,1.0,Supplies,Parlimentary Pension Scheme,uncategorised,2024-06-19 00:00:00,2023-2024
90630,"Dismantling, Relocation and Assembling of Manual Mobile Shelves from Records to Central Registry at URA Tower Basement",80000000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-06-18 00:00:00,2023-2024
91144,Purchase of Furniture for the Institute,60090000,466.0,1.0,Supplies,Uganda Industrial Research Institute,Education,2024-06-18 00:00:00,2023-2024
91184,Supply of three (03) laptop computer with accessories to UWA-FACE Project,15000000,481.0,1.0,Supplies,Uganda Wildlife Authority,Tourism,2024-06-18 00:00:00,2023-2024
91185,Supply of milling machine for Communities- UWA-FACE in KNP,16010000,481.0,1.0,Supplies,Uganda Wildlife Authority,Tourism,2024-06-18 00:00:00,2023-2024
91014,Supply of repair materials for Kotido barracks 108m3 reservoir,21758000,433.0,1.0,Supplies,National Water & Sewerage Corporation,Water and Environment,2024-06-18 00:00:00,2023-2024
90791,Supply of Branded shirts/blouses for STEER Program - Retender,31500000,478.0,1.0,Supplies,Uganda Revenue Authority,Accountability,2024-06-18 00:00:00,2023-2024
91101,POLICE HEADQUARTERS LIFT UPGRADE AND REFURBISHMENT,122848000,713.0,1.0,Supplies,UGANDA POLICE FORCE,"Justice, Law and Order",2024-06-18 00:00:00,2023-2024
91103,POLICE HEADQUARTERS LIFT UPGRADE AND REFURBISHMENT,122848000,713.0,1.0,Supplies,UGANDA POLICE FORCE,"Justice, Law and Order",2024-06-18 00:00:00,2023-2024
90857,Refurbishment of a container at Port bell Office,22970000,478.0,3.0,Works,Uganda Revenue Authority,Accountability,2024-06-18 00:00:00,2023-2024
90867,Supply and Installation of Curtain blinds at Arua Office,7611000,478.0,1.0,Supplies,Uganda Revenue Authority,Accountability,2024-06-18 00:00:00,2023-2024
91003,SUPPLY AND DELIVERY OF FURNITURE FOR RESEARCH OFFICERS,8732000,472.0,1.0,Supplies,Uganda National Examinations Board,Education,2024-06-17 00:00:00,2023-2024
91004,SUPPLY AND DELIVERY OF EXTERNAL HARD DISK FOR RESEARCH OFFICERS,6490000,472.0,1.0,Supplies,Uganda National Examinations Board,Education,2024-06-17 00:00:00,2023-2024
91283,Provision of Events Management services for Global Symposium for Regulators (GSR)-24 Host Country  Gala,200000000,458.0,2.0,Non-Consultancy Services,Uganda Communications Commission,ICT and National Guidance,2024-06-17 00:00:00,2023-2024
91100,SUPPLY AND DELIVERY OF PRINT CARTRIDGES FOR MANUSRCIPT DIVISION,4010000,472.0,1.0,Supplies,Uganda National Examinations Board,Education,2024-06-17 00:00:00,2023-2024
90884,Improvement of Nakawa Campus Power Supply Systems,26668000,478.0,2.0,Non-Consultancy Services,Uganda Revenue Authority,Accountability,2024-06-14 00:00:00,2023-2024
91148,Supply and Delivery of Laptops for Two  Staff (Replacement of Stolen Laptops),10054800,424.0,1.0,Supplies,National Drug Authority,Health,2024-06-14 00:00:00,2023-2024
90972,Repair of Motor Vehicles UG 0573B and UG0774B,18726600,25.0,2.0,Non-Consultancy Services,Electoral Commission,Public Administration,2024-06-14 00:00:00,2023-2024
90493,Cleaning services for ERA regional offices in Gulu and Mbale,4920000,26.0,2.0,Non-Consultancy Services,Electricity Regulatory Authority,Energy and Mineral Development,2024-06-14 00:00:00,2023-2024
91262,Provision of Hotel Services and Accommodation for Team Building for Legal Department,111000000,458.0,2.0,Non-Consultancy Services,Uganda Communications Commission,ICT and National Guidance,2024-06-14 00:00:00,2023-2024
90786,IMPLEMENTATION OF FULL-SCALE SOURCE PROTECTION MEASURES IN ARUA (Small civil Works),965041677,433.0,3.0,Works,National Water & Sewerage Corporation,Water and Environment,2024-06-14 00:00:00,2023-2024
90532,Multifunctional Printers,56758000,26.0,1.0,Supplies,Electricity Regulatory Authority,Energy and Mineral Development,2024-06-14 00:00:00,2023-2024
90533,Display Screen,45017963,26.0,1.0,Supplies,Electricity Regulatory Authority,Energy and Mineral Development,2024-06-14 00:00:00,2023-2024
91381,PROVISION OF HOTEL SERVICES FOR STAKEHOLDER ENGAGEMENT ON COMPLIANCE WITH RADIO BROADCAST OPERATORS IN KAMPALA,40000000,458.0,2.0,Non-Consultancy Services,Uganda Communications Commission,ICT and National Guidance,2024-06-14 00:00:00,2023-2024
90363,supply of 136 three seater desks to education department,23120000,600.0,1.0,Supplies,Mbale District Local Government,local government,2024-06-14 00:00:00,2023-2024
90160,CONSTRUCTION OF JINJA DAIRY VILLAGE,312000000,20.0,3.0,Works,Dairy Development Authority,Agriculture,2024-06-13 00:00:00,2023-2024
90690,"Production of official potrait members of the Commission for EC offices, official Publications and Online\ digital platforms",14300000,25.0,1.0,Supplies,Electoral Commission,Public Administration,2024-06-13 00:00:00,2023-2024
90739,Supply of Branded Document Holders.,11000000,25.0,1.0,Supplies,Electoral Commission,Public Administration,2024-06-13 00:00:00,2023-2024
90763,"Consultancy Services for Comprehensive Training on Voter Data Dashboard Usage, Workflow Management, and Ethical Practices for VDM staff",60000000,25.0,4.0,Consultancy Services,Electoral Commission,Public Administration,2024-06-13 00:00:00,2023-2024
91815,Supply and delivery of assorted shaft seal filter spares at Isimba HPP,114939098,461.0,1.0,Supplies,Uganda Electricity Generation Company,Energy and Mineral Development,2024-06-13 00:00:00,2023-2024
90807,Procurement  of Consumables for the EC Auditor Visual Unit,23800000,25.0,1.0,Supplies,Electoral Commission,Public Administration,2024-06-13 00:00:00,2023-2024
90814,"Supply of cameras, TV & Studio Equipment Repairs & Replacement - Retender",126160000,478.0,1.0,Supplies,Uganda Revenue Authority,Accountability,2024-06-13 00:00:00,2023-2024
91854,RENOVATION OF TEN STANCE VIP LATRINE FOR BOYS AND GIRLS AT ST. KIZITO PRIMARY SCHOOL,28000000,816.0,3.0,Works,Tororo Municipal Council,uncategorised,2024-06-13 00:00:00,2023-2024
90836,Air Ticket Service for EC officer for Election Training Course in Accra -Ghana,7700000,25.0,2.0,Non-Consultancy Services,Electoral Commission,Public Administration,2024-06-13 00:00:00,2023-2024
90841,Supply of Accessories for Audio Visual Unit,22000000,25.0,1.0,Supplies,Electoral Commission,Public Administration,2024-06-13 00:00:00,2023-2024
91409,Repair Hilux Double Cabin UBE 473X,5546000,427.0,2.0,Non-Consultancy Services,National Forestry Authority,Water and Environment,2024-06-12 00:00:00,2023-2024
91229,Preventive Maintenance of Dell Server Environment Hosting Core Banking System,70800000,739.0,2.0,Non-Consultancy Services,Pride Microfinance Limited,Interest Payments,2024-06-12 00:00:00,2023-2024
91048,Provision of Bar services for UCC GSR-24 Host Country Gala Event,87400000,458.0,2.0,Non-Consultancy Services,Uganda Communications Commission,ICT and National Guidance,2024-06-12 00:00:00,2023-2024
